Source IP,Destination IP,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,Label
172.16.0.1,37.59.88.144,11900000.0,32000000.0,998244.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,0.110938864,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,DoS Slowhttptest
172.16.0.1,20.75.170.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,20,22222.22222,22222.22222,2.0,6.0,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,PortScan
172.16.0.1,139.172.152.239,3842184.904,5434355.0,685.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.551973859,0.183991286,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – Brute Force
172.16.0.1,211.156.3.155,4041713.467,5716869.0,1023.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.524668881,0.174889627,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – XSS
172.16.0.1,193.199.127.69,3788819.555,5359084.0,884.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.559704834,0.186568278,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – XSS
172.16.0.1,224.201.9.147,44100000.0,98700000.0,1.0,36714.0,6119.0,10054.79338,24186.0,48.0,0,0,0,0,200,232,0.060771223,0.070899761,0.0,4344.0,854.2857143,1344.367419,1807323.758,0,0,0,0,1,0,0,DoS Hulk
172.16.0.1,159.117.124.21,9891.716762,13991.0,2.0,150704.0,25117.33333,54691.00204,136174.0,46.0,0,0,0,0,104,232,19.90221379,46.43849884,0.0,5792.0,1084.727273,1824.779773,3329821.218,0,0,0,1,0,0,0,DoS Hulk
192.168.10.9,205.174.165.73,40696.93867,70849.0,43.0,69957.0,34978.5,48578.94297,69329.0,628.0,0,0,0,0,92,72,55.88699649,41.91524737,0.0,194.0,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,Bot
172.16.0.1,77.217.255.130,162449.2977,230628.0,890.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,12.95795575,4.319318584,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,Web Attack – XSS
172.16.0.1,177.133.27.15,456.7909806,776.0,130.0,1202964.0,300741.0,600743.4768,1201856.0,4.0,0,0,0,0,72,112,2.493521001,4.155868335,0.0,5840.0,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,DDoS
205.174.165.73,81.125.187.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,52631.57895,52631.57895,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,1,0,Bot
172.16.0.1,160.70.161.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,32,32,11111.11111,11111.11111,0.0,8.0,5.333333333,4.618802154,21.33333333,0,1,0,0,1,0,0,DoS slowloris
172.16.0.1,228.72.247.217,711053.1441,2004162.0,998581.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,0.999086502,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,DoS slowloris
172.16.0.1,80.96.222.132,1036836.443,2743518.0,4.0,7744888.0,1548977.6,2266058.395,5001695.0,50.0,0,0,0,0,264,200,1.032933003,0.774699752,0.0,5840.0,809.4666667,1802.858756,3250299.695,0,0,0,1,0,0,0,DoS GoldenEye
