Source IP,Destination IP,Flow ID,Source Port,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Label
172.16.0.1,37.59.88.144,172.16.0.1-192.168.10.50-34458-80-6,34458,80,6,5/7/2017 10:15,63097816,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110938864,10500000.0,11900000.0,32000000.0,998244.0,63100000.0,10500000.0,DoS Slowhttptest
172.16.0.1,20.75.170.64,172.16.0.1-192.168.10.50-42784-6839-6,42784,6839,6,7/7/2017 2:51,45,1,1,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,177777.7778,44444.44444,45.0,0.0,45.0,45.0,0.0,0.0,PortScan
172.16.0.1,139.172.152.239,172.16.0.1-192.168.10.50-55598-80-6,55598,80,6,2017-07-06 09:33:00,5435040,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735965145,1811680.0,3137328.587,5434355.0,125.0,5435040.0,2717520.0,Web Attack – Brute Force
172.16.0.1,211.156.3.155,172.16.0.1-192.168.10.50-58838-80-6,58838,80,6,2017-07-06 10:26:00,5717892,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699558509,1905964.0,3300340.566,5716869.0,107.0,5717892.0,2858946.0,Web Attack – XSS
172.16.0.1,193.199.127.69,172.16.0.1-192.168.10.50-56872-80-6,56872,80,6,2017-07-06 10:23:00,5359968,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746273112,1786656.0,3093813.417,5359084.0,125.0,5359968.0,2679984.0,Web Attack – XSS
172.16.0.1,224.201.9.147,172.16.0.1-192.168.10.50-43286-80-6,43286,80,6,5/7/2017 10:56,98730940,6,7,365.0,11595.0,365.0,0.0,60.83333333,149.010626,4344.0,0.0,1656.428571,1547.737688,121.1373051,0.131670984,8227578.333,28500000.0,98700000.0,1.0,98700000.0,19700000.0,DoS Hulk
172.16.0.1,159.117.124.21,172.16.0.1-192.168.10.50-55430-80-6,55430,80,6,5/7/2017 10:43,150737,3,7,337.0,11595.0,337.0,0.0,112.3333333,194.5670407,5792.0,0.0,1656.428571,2118.227235,79157.73831,66.34071263,16748.55556,45018.94668,136174.0,2.0,13993.0,6996.5,DoS Hulk
192.168.10.9,205.174.165.73,192.168.10.9-205.174.165.73-3396-8080-6,3396,8080,6,7/7/2017 10:32,71573,4,3,206.0,134.0,194.0,0.0,51.5,95.04209594,128.0,0.0,44.66666667,72.23111056,4750.394702,97.80224386,11928.83333,28122.52761,69329.0,43.0,71573.0,23857.66667,Bot
172.16.0.1,77.217.255.130,172.16.0.1-192.168.10.50-36178-80-6,36178,80,6,2017-07-06 10:35:00,231518,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.27727434,77172.66667,132896.6218,230628.0,117.0,231518.0,115759.0,Web Attack – XSS
172.16.0.1,177.133.27.15,172.16.0.1-192.168.10.50-31361-80-6,31361,80,6,7/7/2017 4:08,1203118,3,5,26.0,11607.0,20.0,0.0,8.666666667,10.26320288,5840.0,0.0,2321.4,3173.373883,9669.043269,6.649389337,171874.0,454179.4124,1201856.0,4.0,906.0,453.0,DDoS
