Source IP,Destination IP,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1,37.59.88.144,0,0.0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7010163.0,0.0,7010163.0,7010163.0,18700000.0,12200000.0,32000000.0,8023928.0,DoS Slowhttptest
172.16.0.1,20.75.170.64,0,1.0,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
172.16.0.1,139.172.152.239,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – Brute Force
172.16.0.1,211.156.3.155,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,193.199.127.69,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,224.201.9.147,0,1.0,920.0,60.83333333,1656.428571,200,0,0,0,0,0,0,6,365,7,11595,251,235,1,32,4.0,0.0,4.0,4.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1,159.117.124.21,0,2.0,1193.2,112.3333333,1656.428571,104,0,0,0,0,0,0,3,337,7,11595,29200,235,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
192.168.10.9,205.174.165.73,0,0.0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,77.217.255.130,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,177.133.27.15,0,1.0,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
205.174.165.73,81.125.187.46,0,1.0,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,16392,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,160.70.161.232,0,1.0,8.0,8.0,0.0,32,0,0,0,0,0,0,1,8,1,0,229,235,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1,228.72.247.217,0,0.0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1,80.96.222.132,0,0.0,867.2857143,63.75,1938.666667,264,0,0,0,0,0,0,8,510,6,11632,29200,235,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS GoldenEye
172.16.0.1,51.157.8.252,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,257,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1,77.219.222.237,0,0.0,149.8235294,181.5,2.0,456,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3206248.0,4533818.774,6412142.0,354.0,19300000.0,18800000.0,51400000.0,5893754.0,DoS slowloris
172.16.0.1,70.140.203.138,0,0.0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1,70.35.86.231,0,0.0,795.4666667,42.125,1656.428571,264,0,0,0,0,0,0,8,337,7,11595,274,235,1,32,2000.0,0.0,2000.0,2000.0,98300000.0,0.0,98300000.0,98300000.0,DoS Hulk
172.16.0.1,173.220.168.255,0,1.0,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
172.16.0.1,80.236.253.114,0,0.0,798.6,42.66666667,1932.5,296,0,0,0,0,0,0,9,384,6,11595,251,235,1,32,1000.0,0.0,1000.0,1000.0,99500000.0,0.0,99500000.0,99500000.0,DoS Hulk
172.16.0.1,19.204.90.200,0,1.0,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
172.16.0.1,20.59.160.97,0,1.0,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
172.16.0.1,27.133.147.125,0,0.0,439.5555556,86.2,881.25,168,0,0,0,0,0,0,5,431,4,3525,29200,235,1,32,932.0,0.0,932.0,932.0,6899715.0,0.0,6899715.0,6899715.0,DoS GoldenEye
172.16.0.1,214.125.45.173,0,1.0,12.16666667,11.55555556,12.53333333,296,0,0,0,0,0,0,9,104,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1,149.240.239.188,0,0.0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1,130.9.8.6,0,0.0,994.5,37.75,2908.0,264,0,0,0,0,0,0,8,302,4,11632,29200,235,1,32,780.0,0.0,780.0,780.0,5299648.0,0.0,5299648.0,5299648.0,DoS GoldenEye
172.16.0.1,130.28.171.145,0,1.0,86.41818182,91.27272727,83.18181818,712,0,0,0,0,0,0,22,2008,33,2745,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1,183.14.218.179,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,237,235,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – Brute Force
192.168.10.15,205.174.165.73,0,1.0,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
172.16.0.1,179.35.54.146,0,0.0,457.625,186.1111111,806.7142857,296,0,0,0,0,0,0,9,1675,7,5647,29200,262,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack – XSS
172.16.0.1,161.237.242.142,0,0.0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1002.0,0.0,1002.0,1002.0,11300000.0,0.0,11300000.0,11300000.0,DDoS
172.16.0.1,88.131.209.137,0,0.0,100.3333333,147.5,6.0,64,0,0,0,0,0,0,2,295,1,6,410,0,1,32,0.0,0.0,0.0,0.0,108000000.0,0.0,108000000.0,108000000.0,DoS GoldenEye
