Source Port,Destination Port,Protocol,Flow Duration,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward
443,54865,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,-1,1,20
80,55054,6,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,256,0,20
80,55055,6,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,256,0,20
443,46236,6,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,329,0,20
443,54863,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,-1,1,20
443,54871,6,1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,-1,1,20
443,54925,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,-1,1,20
443,54925,6,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,256,0,20
443,9282,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,-1,1,20
443,55153,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946,-1,1,20
443,55143,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980,-1,1,20
443,55144,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980,-1,1,20
443,55145,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980,-1,1,20
443,55254,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946,-1,2,20
80,36206,6,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939,1269,0,32
443,53524,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,-1,0,32
443,53524,6,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,65535,0,32
443,53526,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,-1,0,32
443,53526,6,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,65535,0,32
443,53527,6,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,65535,0,32
443,53528,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,-1,0,32
443,53527,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,-1,0,32
443,55035,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237,-1,1,20
443,55275,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,-1,2,20
443,55277,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35095,-1,1,20
443,8850,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,-1,2,20
80,43248,6,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,439,0,32
443,8678,6,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,-1,2,20
443,55063,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,-1,1,20
443,55203,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,-1,1,20
443,55140,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,-1,1,20
443,55180,6,737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0,1,20
443,55156,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,-1,1,20
443,55096,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,-1,1,20
443,55085,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,-1,1,20
443,8689,6,276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,-1,2,20
443,8817,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40905,-1,1,20
443,8816,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40905,-1,1,20
443,8886,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5114,-1,1,20
80,60350,6,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,274,0,20
80,60346,6,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,274,0,20
80,60352,6,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,320,0,20
443,8833,6,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,-1,1,20
443,9331,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,-1,1,20
443,9175,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385,-1,1,20
80,8693,6,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351,258,0,20
80,8695,6,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,255,0,20
80,8690,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,255,0,20
80,8694,6,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,255,0,20
443,57683,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,-1,1,20
443,57662,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,-1,1,20
443,54864,6,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351,-1,1,20
443,57680,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377,-1,1,20
80,60954,6,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340,229,0,32
443,57681,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424,-1,1,20
443,55270,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,-1,1,20
443,55271,6,251170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351,-1,2,20
443,57674,6,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,-1,1,20
