Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.3-192.168.10.17-53-61177-17,192.168.10.17,61177,153.25.157.120,53,17,7/7/2017 11:14,48400,2,2,74.0,176.0,37.0,37.0,37.0,0.0,88.0,88.0,88.0,0.0,5165.289256,82.6446281,16133.33333,27940.28895,48396.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,64,41.32231405,41.32231405,37.0,88.0,57.4,27.93385043,780.3,0,0,0,0,0,0,0,0,1.0,71.75,37.0,88.0,40,0,0,0,0,0,0,2,74,2,176,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.16.0.1-192.168.10.50-37837-80-6,192.168.10.50,80,80.223.70.11,37837,6,7/7/2017 4:12,7353444,1,6,1375.0,30.0,1375.0,1375.0,1375.0,0.0,6.0,0.0,5.0,2.449489743,191.0669341,0.951934903,1225574.0,2996819.456,7342803.0,1.0,0.0,0.0,0.0,0.0,0.0,7351826.0,1470365.2,3282794.248,7342803.0,1.0,1,0,0,0,20,132,0.1359907,0.815944202,0.0,1375.0,347.5,634.1901472,402197.1429,0,1,0,0,1,1,0,0,6.0,397.1428571,1375.0,5.0,20,0,0,0,0,0,0,1,1375,6,30,229,0,0,20,10641.0,0.0,10641.0,10641.0,7342803.0,0.0,7342803.0,7342803.0,BENIGN
192.168.10.3-192.168.10.16-53-42093-17,192.168.10.16,42093,125.22.139.191,53,17,7/7/2017 10:15,48401,2,2,58.0,198.0,29.0,29.0,29.0,0.0,99.0,99.0,99.0,0.0,5289.146918,82.6429206,16133.66667,27940.8663,48397.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,41.3214603,41.3214603,29.0,99.0,57.0,38.34057903,1470.0,0,0,0,0,0,0,0,0,1.0,71.25,29.0,99.0,64,0,0,0,0,0,0,2,58,2,198,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.15-53-50829-17,192.168.10.15,50829,97.191.139.196,53,17,7/7/2017 1:04,205,2,2,68.0,388.0,34.0,34.0,34.0,0.0,194.0,194.0,194.0,0.0,2224390.244,19512.19512,68.33333333,76.84616668,153.0,3.0,3.0,3.0,0.0,3.0,3.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,40,40,9756.097561,9756.097561,34.0,194.0,98.0,87.6356092,7680.0,0,0,0,0,0,0,0,0,1.0,122.5,34.0,194.0,40,0,0,0,0,0,0,2,68,2,388,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.51-208.185.50.40-58917-443-6,208.185.50.40,443,221.107.139.163,58917,6,4/7/2017 9:05,58,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34482.75862,58.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,17241.37931,17241.37931,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,21900,46432,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.217.10.113-192.168.10.17-443-59910-6,172.217.10.113,443,13.152.49.153,59910,6,4/7/2017 10:16,22,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90909.09091,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,45454.54545,45454.54545,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,365,1819,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.1-192.168.10.3-53-60872-17,192.168.10.3,60872,17.202.132.185,53,17,7/7/2017 11:17,6815000,2,2,109.0,297.0,58.0,51.0,54.5,4.949747468,186.0,111.0,148.5,53.03300859,59.57446809,0.586940572,2271666.667,3877066.638,6748356.0,380.0,6748736.0,6748736.0,0.0,6748736.0,6748736.0,6814620.0,6814620.0,0.0,6814620.0,6814620.0,0,0,0,0,52,52,0.293470286,0.293470286,51.0,186.0,91.4,58.55168657,3428.3,0,0,0,0,0,0,0,0,1.0,114.25,54.5,148.5,52,0,0,0,0,0,0,2,109,2,297,-1,-1,1,20,380.0,0.0,380.0,380.0,6748356.0,0.0,6748356.0,6748356.0,BENIGN
192.168.10.9-74.117.200.68-18896-443-6,192.168.10.9,18896,74.117.200.68,443,6,5/7/2017 1:25,349757,6,9,742.0,762.0,444.0,0.0,123.6666667,180.7060228,585.0,0.0,84.66666667,190.4986877,4300.128375,42.88691863,24982.64286,55528.57103,210550.0,4.0,312608.0,62521.6,103000.7172,244281.0,172.0,315843.0,39480.375,83987.75509,244071.0,4.0,0,0,0,0,132,188,17.15476745,25.73215118,0.0,585.0,94.0,176.7280397,31232.8,0,0,0,1,0,0,0,0,1.0,100.2666667,123.6666667,84.66666667,132,0,0,0,0,0,0,6,742,9,762,8192,5110,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.51-53-42584-17,192.168.10.51,42584,87.164.176.252,53,17,2017-07-06 10:59:00,48453,2,2,62.0,126.0,31.0,31.0,31.0,0.0,63.0,63.0,63.0,0.0,3880.048707,82.55422781,16151.0,27930.19436,48402.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,40,64,41.2771139,41.2771139,31.0,63.0,43.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1.0,54.75,31.0,63.0,40,0,0,0,0,0,0,2,62,2,126,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.12-23.50.75.27-35504-80-6,192.168.10.12,35504,23.50.75.27,80,6,4/7/2017 2:34,44844463,15,12,1736.0,7093.0,434.0,0.0,115.7333333,198.6581654,1774.0,0.0,591.0833333,768.8662797,196.8804934,0.602081019,1724787.038,3588450.177,10200000.0,36.0,36600000.0,2611481.071,4265396.843,10200000.0,172.0,44800000.0,4074628.364,4672892.639,10200000.0,194.0,0,0,0,0,488,392,0.334489455,0.267591564,0.0,1774.0,315.3214286,566.4938987,320915.3373,0,0,0,1,0,0,0,0,0.0,327.0,115.7333333,591.0833333,488,0,0,0,0,0,0,15,1736,12,7093,29200,1039,4,32,1969377.667,3370266.32,5861026.0,23508.0,10200000.0,1872.987987,10200000.0,10200000.0,BENIGN
